model_name,sku,wishlistCount,qty,wishlist/stock
JJ E16146,john-jacobs-jj-e16146-c2-eyeglasses,0,817,0.0
VC E13447,vincent-chase-vc-e13447-c6-eyeglasses,0,22233,0.0
LA E13646,lenskart-air-la-e13646-foll-rim-aviator-tr90-c1-eyegasus,4846,255,19.00392156862745
LA E14832,lenskart-air-la-e14832-c2-eyeglasses,0,2662,0.0
VC E16689,vincent-chase-vc-e16689-c1-eyeglasses,0,79,0.0
LA E16564,lenskart-air-la-e16564-c1-eyeglasses,0,1673,0.0
JJ E16115,john-jacobs-jj-e16115-c2-eyeglasses,0,2914,0.0
VC E14974,vincent-chase-vc-e14974-c3-eyeglasses,0,162,0.0
VC E12395,vincent-chase-vc-e12395-c1-eyeglasses,15718,4696,3.3471039182282794
LA E15389,lenskart-air-la-e15389-c2-eyeglasses,0,645,0.0
LA E12852,vincent-chase-vc-e12852-c1-eyeglasses,6106,3800,1.6068421052631578
VC E16906,vincent-chase-vc-e16906-c3-eyeglasses,0,950,0.0
LA E16565,lenskart-air-la-e16565-c3-eyeglasses,0,865,0.0
JJ S11089,john-jacobs-jj-s11089-c1-sunglasses,2555,996,2.5652610441767068
VC E11797-L,vincent-chase-vc-e11797-l-c1-eyeglasses,1166,1083,1.0766389658356417
VC E13919,vincent-chase-vc-e13920-c2-eyeglasses,4251,4432,0.9591606498194946
LA E11412-N,lenskart-air-la-e11412-n-fall-rim-rectgle-c-on-c5-eyeglasses,5293,4222,1.253671245855045
LA E14573,lenskart-air-la-e14573-c1-eyeglasses,0,2637,0.0
VC E16792,vincent-chase-vc-e16792-c1-eyeglasses,0,878,0.0
LA E16570,lenskart-air-la-e16570-c2-eyeglasses,0,917,0.0
JJ E11318,john-jacobs-jj-e11318-rectangle-c4-eyeglasses,5288,5453,0.9697414267375757
VC E14113,vincent-chase-vc-e14113-c1-c1-eyeglasses,2969,4635,0.6405609492988134
VC E14035,vincent-chase-vc-e14035-c2-eyeglasses,6584,6497,1.0133907957518855
LA E14101,lenskart-air-la-e14101-c2-c2-eyeglasses,1740,3573,0.4869857262804366
LA E11289,lenskart-air-lnewa-e11289-rectangle-tr90-c1-eyeglnewasses,13084,2437,5.368896183832581
VC E16788,vincent-chase-vc-e16788-c2-eyeglasses,0,786,0.0
LA E16571,lenskart-air-la-e16571-c2-eyeglasses,0,1101,0.0
JJ E11292,john-jacobs-jj-e11292-c5-eyeglasses,0,1564,0.0
VC S13984,vincent-chase-vc-s13984-c1-sunglasses,2609,2169,1.2028584601198709
VC E14938,vincent-chase-vc-e14938-c1-eyeglasses,0,2298,0.0
LA E14573,lenskart-air-la-e14573-c2-eyeglasses,0,1839,0.0
LA E13071,lenskart-air-la-e13035-c1-eyeglasses,12149,3292,3.6904617253948966
VC E16783,vincent-chase-vc-e16783-c1-eyeglasses,0,2189,0.0
LA E16569,lenskart-air-la-e16569-c2-eyeglasses,0,1016,0.0
JJ S13025,john-jacobs-jj-s13025-c1-sunglasses,1907,1101,1.732061762034514
VC E10502,vincent-chase-vc-e10502-c8-c8-eyeglasses,1579,11452,0.13787984631505415
VC E13624,vincent-chase-vc-e13624-ful-ram-sqr-metl-stlbr-c3-eyeglasaas,5074,4051,1.25253023944705
LA E11413,lenskart-air-la-e11413-foll-rim-rectangle-clip-on-c4-eyeglas,2638,658,4.009118541033435
LA E13643,lenskart-air-la-e13643-c3-eyeglasses,827,5374,0.15388909564570152
VC E16785,vincent-chase-vc-e16785-c1-eyeglasses,0,1651,0.0
LA E16572,lenskart-air-la-e16572-c2-eyeglasses,0,1195,0.0
JJ E16116,john-jacobs-jj-e16116-c2-eyeglasses,0,331,0.0
VC E14105,vincent-chase-vc-e14105-c2-c2-eyeglasses,3042,3125,0.97344
LA 0353,lenskart-air-la-0353-ramless-rectangle-tr90-c2-eyeglasses,4240,1360,3.1176470588235294
LA E14832,lenskart-air-la-e14832-c3-eyeglasses,0,830,0.0
VC E16455,vincent-chase-vc-e16455-c1-eyeglasses,0,2067,0.0
LA E16207,lenskart-air-la-e16207-c1-eyeglasses,0,1065,0.0
JJ E15293,john-jacobs-jj-e15293-c1-eyeglasses,0,372,0.0
